iteration,exploitability_for_42_chance_sampling_CFR
1,3.476041666666668
2,3.476041666666668
3,3.217415364583335
5,3.0849392361111123
6,3.0147858796296303
7,2.978600019290124
10,2.532829049062687
12,2.1951468274191903
15,1.9894076984827653
19,1.5029317207962474
25,1.3323849103979508
31,1.143287531425743
39,0.939217124267924
50,0.7538812060111868
63,0.6202162675057807
79,0.5548332921222437
100,0.5121915633311745
125,0.4716360443258327
158,0.44081721635999843
199,0.41068294592539795
251,0.353905538510606
316,0.2943615242019554
398,0.30813271370918827
501,0.31048412015918636
630,0.28547290583206986
794,0.2448246973861636
1000,0.19915351698469697
1258,0.16180353249064194
1584,0.1467561045009858
1995,0.13699220613994076
2511,0.09444812883510496
3162,0.08853753614084428
3981,0.09060319949444488
5011,0.07697212048988337
6309,0.07425454258006384
7943,0.057142889527273116
10000,0.04572445924641343
12589,0.04464477335959325
15848,0.03235347490731974
19952,0.026759294940357996
25118,0.023671298668618005
31622,0.023701066276441356
39810,0.017964969186438782
50118,0.01245202747444183
63095,0.013173427605693837
79432,0.010839436511176873
100000,0.009772647081053132
125892,0.010077221473754616
158489,0.009113133615357746
199526,0.007791579900855848
251188,0.006723270666366896
316227,0.0058172290617022615
398107,0.0050387381084855964
501187,0.004658564847296626
630957,0.004604715847992651
794328,0.004061059192782206
1000000,0.00224602964391301
