iteration,exploitability_for_1_FSP
4,4.691820987654322
8,4.639043209876543
12,4.686388888888889
16,4.721651234567901
24,4.861342592592592
28,4.86287037037037
36,4.9652716049382715
48,5.030057319223985
60,5.015529835390947
76,5.290194003527336
100,5.381975235155791
124,5.505058548447439
156,5.638998270248267
196,5.652342558757031
248,5.680922684330893
316,5.6430661344186905
396,5.599374783819369
500,5.768249593490586
628,6.02401022603004
792,6.055928772633636
1000,5.813299773170998
1256,6.172218981546629
1584,6.10560842727113
1992,6.198278112135
2508,5.7217220836475615
3160,5.391505482924716
3980,5.2162531639155105
5008,4.94182588729299
6308,4.43640185388871
7940,3.720105210291658
10000,3.272226994525231
12588,2.926422282768005
15848,2.6817814189343547
19952,2.4505947606782135
25116,2.217072911984672
31620,2.003179619854447
39808,1.824639711110458
50116,1.7580754738253064
63092,1.7276568054597359
79432,1.6842259930453345
100000,1.5545739833555867
125892,1.4621316363325922
158488,1.1518523260937568
199524,1.0186135024175855
251188,0.9739548310488728
316224,0.9476458204268412
398104,0.9162486782872707
501184,0.8480816664770015
630956,0.7797538155508579
794328,0.7045904885832153
1000000,0.6245651499456832
