iteration,exploitability_for_42_outcome_sampling_MCCFR
1,4.605092592592591
2,4.491203703703703
3,4.491203703703703
5,4.585648148148149
6,4.7790110365364065
7,4.938008790101747
10,5.101927308679422
12,5.136321598802879
15,5.158697069932304
19,5.1681956300146945
25,4.987029955186837
31,5.049337290217959
39,5.069635660995569
50,5.166599860380497
63,4.994738173574143
79,4.98867641263092
100,4.899919506090119
125,5.063895133952627
158,4.827457365827551
199,4.641889347210506
251,4.742730798773945
316,5.296369087268905
398,5.389066477288496
501,5.461906698599363
630,4.946104016559403
794,4.341259594210003
1000,4.122198059603527
1258,3.9644428887491925
1584,3.8671058055469105
1995,3.2440657457104214
2511,2.8886124038817544
3162,2.7047228561029812
3981,2.372744607573726
5011,2.3097031980766283
6309,2.0860812402762883
7943,1.9757755846756808
10000,1.6684931151231126
12589,1.616108153963328
15848,1.6396951922816734
19952,1.5199898981745052
25118,1.5869632357605772
31622,1.418146929894941
39810,1.2860525604366468
50118,1.1256830401877531
63095,1.0726435837616353
79432,0.9618833741851203
100000,1.0150647516880187
125892,0.8239825219224701
158489,0.7128385240724378
199526,0.69204253607883
251188,0.629164476902496
316227,0.5720479262738392
398107,0.7337629816614613
501187,0.6065247012085379
630957,0.7198566056075599
794328,0.6581870421644658
1000000,0.41479739405378313
